hh_id,psu,strata,weight,d_cm,d_nutr,d_satt,d_educ,d_elct,d_sani,d_wtr,d_hsg,d_ckfl,d_asst,sex_Male,sex_Female,agec7_0-4,agec7_5-9,agec7_10-14,agec7_15-17,agec7_18-59,agec7_60+,hhsize,region,area
412,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,3,2,1,1,1,0,2,0,5,Chitipa,rural
413,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,4,0,1,1,1,3,0,6,Chitipa,rural
414,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1,1,2,0,1,0,0,2,0,3,Chitipa,rural
415,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0,3,4,1,0,2,0,4,0,7,Chitipa,rural
416,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0,3,2,1,1,0,1,2,0,5,Chitipa,rural
417,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,5,1,1,2,1,0,1,1,6,Chitipa,rural
419,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,3,5,2,2,1,1,1,1,8,Chitipa,rural
420,4,Chitipa Rural,0.2749901,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0,3,6,1,3,2,1,2,0,9,Chitipa,rural
421,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,1.0,1,0,1,0,0,0,0,1,0,1,Chitipa,rural
422,4,Chitipa Rural,0.2749901,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,1,3,1,1,0,0,2,0,4,Chitipa,rural
423,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,1,1,0,0,0,0,2,0,2,Chitipa,rural
424,4,Chitipa Rural,0.2749901,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1,1,2,0,0,0,0,0,3,3,Chitipa,rural
501,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,3,1,0,1,1,0,2,0,4,Chitipa,rural
502,5,Chitipa Rural,0.6253749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,1,1,0,0,0,2,0,3,Chitipa,rural
503,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,4,0,0,2,0,0,2,0,4,Chitipa,rural
505,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0,2,2,0,1,2,0,1,0,4,Chitipa,rural
506,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,3,2,0,1,2,0,2,0,5,Chitipa,rural
507,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1,2,1,1,0,0,0,2,0,3,Chitipa,rural
508,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0,1,3,1,1,0,0,2,0,4,Chitipa,rural
509,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,2,1,1,0,0,2,0,4,Chitipa,rural
510,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,2,3,0,1,1,0,3,0,5,Chitipa,rural
511,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1,0,1,0,0,0,0,1,0,1,Chitipa,rural
512,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,1,0,0,0,0,0,1,0,1,Chitipa,rural
513,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1,1,0,0,0,0,2,0,2,Chitipa,rural
514,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,5,5,2,1,1,0,6,0,10,Chitipa,rural
515,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,4,1,0,1,0,0,4,0,5,Chitipa,rural
516,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,,0.0,0.0,0.0,0,1.0,0,1,1,0,0,0,0,0,2,2,Chitipa,rural
517,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0,3,2,1,1,1,0,2,0,5,Chitipa,rural
518,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,3,4,1,1,1,1,3,0,7,Chitipa,rural
519,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,4,3,0,1,2,0,4,0,7,Chitipa,rural
520,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,1,0,0,1,1,1,0,3,Chitipa,rural
522,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0,2,5,1,1,1,0,4,0,7,Chitipa,rural
523,5,Chitipa Rural,0.6253749,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1,1,0,1,0,0,0,1,2,Chitipa,rural
524,5,Chitipa Rural,0.6253749,,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,4,1,1,1,0,0,3,0,5,Chitipa,rural
601,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,3,0,1,0,1,3,0,5,Chitipa,rural
602,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,1,2,0,0,1,0,0,2,3,Chitipa,rural
603,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,2,1,0,0,0,0,1,2,3,Chitipa,rural
604,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,4,2,0,1,2,1,0,2,6,Chitipa,rural
605,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1,2,2,0,1,0,0,1,2,4,Chitipa,rural
606,6,Chitipa Rural,0.22823851,,,0.0,0.0,1.0,0.0,1.0,0,1.0,0,4,3,1,2,1,1,2,0,7,Chitipa,rural
607,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1,0,1,0,0,0,0,0,1,1,Chitipa,rural
608,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,3,3,1,0,2,0,3,0,6,Chitipa,rural
609,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,1,1,0,0,0,0,0,2,2,Chitipa,rural
610,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,0,4,0,0,2,1,1,0,4,Chitipa,rural
611,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1.0,0,2,1,0,0,0,1,2,0,3,Chitipa,rural
612,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1,0,1,0,0,0,0,1,0,1,Chitipa,rural
613,6,Chitipa Rural,0.22823851,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,2,3,1,1,1,0,2,0,5,Chitipa,rural
614,6,Chitipa Rural,0.22823851,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,4,1,1,1,1,0,2,0,5,Chitipa,rural
615,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,3,4,0,2,1,1,3,0,7,Chitipa,rural
616,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1,4,3,0,2,0,1,3,1,7,Chitipa,rural
617,6,Chitipa Rural,0.22823851,0.0,,0.0,0.0,1.0,1.0,0.0,0,1.0,0,5,2,1,1,1,0,4,0,7,Chitipa,rural
618,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,1,3,0,2,0,1,0,1,4,Chitipa,rural
619,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,5,3,0,2,2,1,3,0,8,Chitipa,rural
620,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1,2,3,0,1,1,0,3,0,5,Chitipa,rural
621,6,Chitipa Rural,0.22823851,,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,1,2,0,0,1,0,2,0,3,Chitipa,rural
622,6,Chitipa Rural,0.22823851,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,5,2,1,0,3,0,2,1,7,Chitipa,rural
623,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1,3,2,0,1,2,0,2,0,5,Chitipa,rural
624,6,Chitipa Rural,0.22823851,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,1,1,0,0,0,0,1,1,2,Chitipa,rural
701,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,2,1,0,1,0,0,2,0,3,Chitipa,rural
